country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,Western Australia,,AU-WA,,28/5/20,-17,3,-39,-42,-9,10
AU,Australia,Western Australia,,AU-WA,,29/5/20,-19,4,-51,-45,-12,10
AU,Australia,Western Australia,,AU-WA,,30/5/20,-13,10,-36,-40,-12,7
AU,Australia,Western Australia,,AU-WA,,31/5/20,-15,0,-28,-44,-13,6
AU,Australia,Western Australia,,AU-WA,,1/6/20,-19,-7,14,-55,-67,17
AU,Australia,Western Australia,,AU-WA,,2/6/20,-14,7,-21,-36,-7,7
AU,Australia,Western Australia,,AU-WA,,3/6/20,-15,4,-16,-39,-6,8
AU,Australia,Western Australia,,AU-WA,,4/6/20,-16,-1,-17,-38,-6,8
AU,Australia,Western Australia,,AU-WA,,5/6/20,-13,5,-16,-38,-5,8
AU,Australia,Western Australia,,AU-WA,,6/6/20,-5,3,-14,-36,-6,6
AU,Australia,Western Australia,,AU-WA,,7/6/20,-10,-1,-22,-44,-10,6
AU,Australia,Western Australia,,AU-WA,,8/6/20,-10,0,-16,-38,-4,7
AU,Australia,Western Australia,,AU-WA,,9/6/20,-10,-1,-9,-36,-4,6
AU,Australia,Western Australia,,AU-WA,,10/6/20,-10,0,-19,-37,-5,7
AU,Australia,Western Australia,,AU-WA,,11/6/20,-12,2,-36,-41,-6,9
AU,Australia,Western Australia,,AU-WA,,12/6/20,-8,7,-37,-39,-5,8
